cab-cap-w,"East West Furniture CAB-CAP-W Capri Kitchen Bench with Wood Seat, 51x15x18 Inch, Cappuccino"
cab-lwh-w,"East West Furniture CAB-LWH-W Capri Dining Table Bench with Solid Wood Seat, 51x15x18 Inch, Linen White"
cab-mah-w,"East West Furniture CAB-MAH-W Capri Dining Bench with Wooden Seat, 51x15x18 Inch, Mahogany"
cab-oak-w,"East West Furniture CAB-OAK-W Capri Dining Room Bench with Wood Seat, 51x15x18 Inch, Oak"
andr3-cap-03,"East West Furniture ANDR3-CAP-03 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Brown Linen Fabric Parsons Dining Chairs, 36x36 Inch, Cappuccino"
andr3-lwh-07,"East West Furniture ANDR3-LWH-07 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Gray Linen Fabric Parsons Dining Chairs, 36x36 Inch, Linen White"
andr3-mah-01,"East West Furniture ANDR3-MAH-01 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Cream Linen Fabric Upholstered Parson Chairs, 36x36 Inch, Mahogany"
andr3-oak-16,"East West Furniture ANDR3-OAK-16 3 Piece Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Dark Khaki Linen Fabric Upholstered Kitchen Chairs, 36x36 Inch, Oak"
bfs030-112,"East West Furniture SB030-28677 Bedford Counter Height Barstool - Round Shape Brown Roast PU Leather Upholstered Pub Height Backless Chairs, 30 Inch Height, Black"
bfs030-202,"East West Furniture SB030-81857 Bedford Counter-Height Barstool - Round Shape Sandalwood PU Leather Upholstered Backless Chairs, 30 Inch Height, Linen White"
bfs030-303,"East West Furniture SB030-41854 Bedford Counter Height Stool - Round Shape Mocha PU Leather Upholstered Pub Height Backless Chairs, 30 Inch Height, Mahogany"
bfs030-416,"East West Furniture SB030-62012 Bedford Counter Height Barstool - Round Shape Vegas Gold PU Leather Upholstered Backless Chairs, 30 Inch Height, Oak"
bbscana,"East West Furniture BBSCANA Beasley Folding Patio Dining Chairs With Arm Rest - Acacia Wood, Set of 2, Natural Oil"
bcmcana,"East West Furniture BCMCANA Beasley Patio Dining Folding Arm Chairs - Acacia Wood, Set of 2, Natural Oil"
vac-blk-c,"East West Furniture VAC-BLK-C Vancouver Dining Chairs - Linen Fabric Upholstered Wood Chairs, Set of 2, Black"
vac-blk-w,"East West Furniture VAC-BLK-W Vancouver Dining Room Chairs - Slat Back Wood Seat Chairs, Set of 2, Oak"
vac-esp-c,"East West Furniture VAC-ESP-C Vancouver Kitchen Dining Chairs - Linen Fabric Upholstered Wooden Chairs, Set of 2, Espresso"
vac-esp-w,"East West Furniture VAC-ESP-W Vancouver Kitchen Dining Chairs - Slat Back Wood Seat Chairs, Set of 2, Espresso"
vac-lwh-c,"East West Furniture VAC-LWH-C Vancouver Dining Room Chairs - Linen Fabric Upholstered Wooden Chairs, Set of 2, Oak"
vac-oak-c,"East West Furniture VAC-OAK-C Vancouver Dining Chairs - Linen Fabric Upholstered Wood Chairs, Set of 2, Oak"
vac-oak-w,"East West Furniture VAC-OAK-W Vancouver Kitchen Dining Chairs - Slat Back Wooden Seat Chairs, Set of 2, Oak"
1ndab3-lwh-02,"East West Furniture 1NDAB3-LWH-02 3 Piece Kitchen Table Set Contains a Rectangle Dining Room Table with Dropleaf and 2 Light Beige Linen Fabric Parson Dining Chairs, 30x48 Inch, Linen White"
